@relation 'trainingset-weka.filters.unsupervised.attribute.NumericToNominal-R65_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A-1-M2'

@attribute '0.237Att No :36+0.235Att No :28-0.23Att No :30+0.227Att No :27-0.227Att No :38+0.225Att No :44+0.214Att No :35+0.213Att No :20+0.205Att No :19-0.205Att No :33-0.201Att No :10-0.19Att No :46-0.188Att No :41-0.184Att No :50+0.182Att No :43-0.178Att No :18-0.16Att No :42-0.158Att No :22-0.146Att No :25-0.144Att No :17-0.138Att No :53-0.136Att No :45-0.131Att No :21+0.113Att No :52-0.111Att No :34-0.11Att No :26-0.107Att No :49-0.101Att No :58-0.099Att No :37-0.098Att No :13-0.095Att No :59-0.094Att No :9-0.089Att No :29-0.086Att No :2-0.078Att No :3+0.078Att No :62+0.074Att No :12+0.067Att No :63+0.062Att No :55+0.057Att No :51+0.052Att No :61+0.044Att No :6+0.043Att No :5-0.027Att No :4-0.024Att No :54-0.018Att No :1-0.013Att No :14+0.005Att No :60+0.005Att No :11-0.005Att No :57+0.004Att No :24+0.004Att No :16' numeric
@attribute '0.294Att No :59+0.286Att No :3-0.284Att No :5-0.259Att No :29-0.256Att No :13-0.249Att No :37-0.229Att No :6+0.227Att No :11+0.224Att No :51-0.221Att No :21-0.2Att No :14-0.193Att No :45+0.187Att No :2+0.18 Att No :58+0.156Att No :50+0.136Att No :10+0.129Att No :63+0.126Att No :60+0.118Att No :55-0.113Att No :53-0.107Att No :12+0.1  Att No :43-0.098Att No :61+0.096Att No :35-0.095Att No :22+0.093Att No :42-0.089Att No :20-0.085Att No :4+0.082Att No :62-0.075Att No :25+0.064Att No :54-0.064Att No :26-0.052Att No :28-0.04Att No :44+0.035Att No :9-0.034Att No :36+0.033Att No :41+0.032Att No :49+0.028Att No :34+0.028Att No :24+0.028Att No :16+0.024Att No :1+0.021Att No :27+0.018Att No :18+0.017Att No :46-0.011Att No :52-0.011Att No :17+0.008Att No :38-0.008Att No :30-0.005Att No :33+0.003Att No :57-0.002Att No :19' numeric
@attribute 'Att No :64' {0,1}

@data
-4.301109,0.596269,0
-6.930266,0.13585,0
-3.325775,0.486503,0
-4.264748,0.414924,0
-4.227995,-0.196684,0
-3.848715,0.228844,0
-3.423025,-1.565623,0
-4.85332,-0.119813,0
-3.490668,-0.421865,0
-2.695715,-1.092927,0
-4.586936,0.963288,0
-4.841544,0.516632,0
-2.75009,-0.958769,0
-4.0884,0.470117,0
-3.852374,0.868504,0
-3.373639,0.244934,0
-4.517694,0.579372,0
-4.602047,0.820053,0
-5.115424,0.920956,0
-4.183039,0.562984,0
-4.097795,1.70044,0
-5.544662,0.935146,0
-4.399943,1.149712,0
-3.69422,0.245437,0
-4.132673,0.676636,0
-2.589641,1.673888,0
-3.875208,1.236715,0
-2.834061,0.281657,0
-1.494367,0.569681,0
-3.199193,1.791004,0
-6.159257,1.074449,0
-3.545307,0.457797,0
-5.12561,0.285015,0
-6.279093,1.316385,0
-3.668853,0.214091,0
-4.40427,0.822028,0
-3.557642,0.099244,0
-3.838104,0.069273,0
-3.489582,0.740221,0
-2.676376,0.42995,0
-5.901598,-0.615853,0
-6.930794,-0.058766,0
-5.554935,-0.39077,0
-3.556905,0.160392,0
-3.073338,-0.294511,0
-3.57228,0.017272,0
-3.400928,-0.680032,0
-2.000774,0.011522,0
-3.768607,0.120783,0
-2.886798,0.726214,0
-2.462968,-0.647339,0
-3.542317,0.370887,0
-6.559047,1.637398,0
-1.441563,-0.158125,0
-4.362745,0.330219,0
-3.916457,0.192073,0
-6.490435,0.717365,0
-2.559406,-0.227445,0
-4.855019,0.768619,0
-3.838712,0.839764,0
-3.615211,0.227935,0
-2.373927,0.241114,0
-3.686106,0.760495,0
-3.170218,0.393962,0
-2.985885,0.181877,0
-3.061142,0.890818,0
-3.499215,0.997939,0
-3.922922,0.391862,0
-3.380474,0.845517,0
-6.118948,1.475601,0
-6.766199,0.993419,0
-6.662241,1.800855,0
-3.535672,0.265076,0
-3.210241,0.892432,0
-4.246917,0.921709,0
-3.935804,0.159716,0
-2.793317,-0.012496,0
-2.399028,0.745196,0
0.971734,-0.330637,0
-3.279033,0.785162,0
0.183257,0.316688,0
-2.223125,0.120802,0
-1.403083,0.1566,0
-0.78008,-0.801691,0
-5.919557,0.146194,0
-2.338381,-1.102731,0
-3.073835,-0.959258,0
-4.275547,1.272138,0
-3.317431,0.978537,0
-3.503589,1.676015,0
-4.434124,1.158204,0
-3.920029,0.493115,0
-5.357037,1.581487,0
-3.568429,0.40182,0
-2.957478,1.244609,0
-4.293305,1.305715,0
-3.78871,0.852674,0
-3.747669,1.817003,0
-1.611025,2.458888,0
-4.447066,-0.146746,0
5.100484,-0.071898,1
4.233741,-5.071494,1
3.90669,-5.583024,1
3.637029,-3.615176,1
3.825403,-3.571442,1
3.664537,-4.886512,1
4.098423,-2.79655,1
4.212354,-4.876597,1
4.615734,-2.404936,1
4.054645,-4.066126,1
4.653696,-0.332993,1
4.234623,2.614974,1
3.612166,-5.226825,1
1.009699,-8.719592,1
2.743336,-7.364937,1
2.15659,-7.183511,1
2.024298,-7.972578,1
0.674271,-6.995605,1
3.30228,-6.877937,1
3.454801,-4.54262,1
2.599099,-8.246033,1
3.013111,-5.275093,1
1.590594,-7.786084,1
3.618347,-5.365304,1
3.256693,-5.410768,1
2.609459,-7.199271,1
4.393954,1.622476,1
4.856193,-2.477173,1
3.809029,-1.757215,1
4.060916,3.406254,1
5.07039,-0.272174,1
3.422803,-5.712847,1
4.482766,2.381243,1
5.400468,-0.814768,1
4.714128,-2.084407,1
4.957935,0.870433,1
5.256759,2.766672,1
4.971933,1.581389,1
1.828795,4.007863,1
1.602521,-6.948679,1
3.6367,-2.48965,1
2.713936,-4.714684,1
3.151236,-4.913425,1
3.774854,-2.320122,1
3.793236,3.306396,1
3.960809,-5.684082,1
4.491415,-1.857259,1
4.091121,-1.894977,1
4.425749,-4.17432,1
3.858924,-4.562481,1
3.324676,-2.833698,1
2.876024,-5.439983,1
4.733615,4.06709,1
3.94835,4.446953,1
4.0868,4.680241,1
4.202037,4.727735,1
4.069769,3.619007,1
3.675643,5.307917,1
3.710461,4.017595,1
4.472928,4.406024,1
4.249815,3.688525,1
3.597431,4.463649,1
5.60223,4.06565,1
3.467849,1.321661,1
5.118508,1.351881,1
4.599123,0.515896,1
3.359462,2.650336,1
3.021962,2.776924,1
3.855224,-3.07503,1
3.136911,-2.452173,1
5.082142,-0.387734,1
3.182632,0.268513,1
5.188914,-1.839359,1
2.003108,1.136404,1
1.210682,2.626364,1
3.133491,1.064386,1
3.142332,-1.385384,1
3.22115,-0.866476,1
5.22819,2.675667,1
4.676762,0.52874,1
5.222505,0.555869,1
1.378053,0.626596,1
3.522512,2.308522,1
2.373938,5.188343,1
3.820962,-0.241056,1
2.602296,4.99638,1
3.015995,2.078341,1
4.701608,2.153878,1
4.747898,2.198505,1
4.905936,2.258734,1
4.438149,-2.478635,1
3.510812,5.257497,1
3.379503,5.298814,1
2.720987,4.198463,1
4.141501,2.071518,1
3.28565,3.986472,1
3.76805,3.796797,1
4.55582,3.084465,1
4.318206,3.891982,1
3.417365,5.048663,1
4.261823,4.269651,1
4.605513,2.266467,1
4.315565,2.74523,1
3.458078,4.359598,1
3.192543,-1.466231,1
4.115772,0.660234,1
5.452696,2.43405,1
2.454694,2.214632,1
4.912306,2.290497,1
2.260828,2.162574,1
5.431912,2.220376,1
4.059834,3.160624,1
5.237602,2.050389,1
2.349902,2.036341,1
5.03209,0.924623,1
4.022191,2.548372,1
4.674823,3.067986,1
3.939009,-2.574534,1
3.487648,-3.765769,1
3.350545,1.092692,1
4.299019,1.439862,1
3.813556,-1.281864,1
5.765721,2.180921,1
3.71159,3.499135,1
5.209224,2.447584,1
2.881739,0.589393,1
4.312103,2.790045,1
4.234506,2.549575,1
2.443023,3.503409,1
1.271553,4.034865,1
1.239642,-4.220655,1
3.96209,0.529581,1
0.969968,-6.513939,1
5.563282,2.579527,1
5.84387,2.199899,1
2.191346,-4.874693,1
5.235072,1.836117,1
3.279552,-3.199727,1
5.278514,0.730323,1
5.212238,2.002453,1
5.713011,2.74489,1
4.729902,3.245482,1
4.482192,3.077303,1
2.61118,-4.525622,1
1.845975,-5.824726,1
2.590208,-6.259714,1
0.414514,-7.605026,1
0.649985,-7.142759,1
0.674739,-5.483628,1
0.583526,-6.446008,1
-0.95047,-7.285392,1
1.9712,-4.807294,1
2.742956,-6.447332,1
1.790618,-6.683437,1
0.127029,-7.271405,1
0.817248,-7.360565,1
5.15634,0.922995,1
3.401494,2.574768,1
2.198141,2.629202,1
5.855247,1.912357,1
4.986871,1.938362,1
3.908054,1.850993,1
5.327683,2.371169,1
5.368056,2.36691,1
5.407759,1.458453,1
6.241617,1.509185,1
5.674702,2.080634,1
5.712044,1.696049,1
5.667712,1.316248,1
2.835267,1.24354,1
3.521902,-1.105272,1
3.330362,2.559299,1
3.594234,0.738509,1
4.358543,0.709566,1
3.550819,1.750659,1
2.500024,2.480185,1
1.695726,0.508465,1
3.95418,-1.197572,1
3.273352,0.715342,1
4.016701,1.219523,1
1.910506,0.268711,1
2.739199,0.313404,1
