@relation 'trainingset-weka.filters.unsupervised.attribute.NumericToNominal-R65_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '0.237Att No :36+0.235Att No :28-0.23Att No :30+0.227Att No :27-0.227Att No :38...' numeric
@attribute '0.294Att No :59+0.286Att No :3-0.284Att No :5-0.259Att No :29-0.256Att No :13...' numeric
@attribute '0.37 Att No :62+0.326Att No :54+0.323Att No :63+0.319Att No :61-0.283Att No :4...' numeric
@attribute '-0.333Att No :58-0.293Att No :2+0.27 Att No :16+0.27 Att No :24-0.261Att No :49...' numeric
@attribute '0.403Att No :24+0.403Att No :16+0.235Att No :17+0.216Att No :9-0.204Att No :34...' numeric
@attribute '-0.381Att No :26-0.286Att No :24-0.286Att No :16-0.272Att No :52-0.27Att No :34...' numeric
@attribute '-0.472Att No :9-0.465Att No :1+0.29 Att No :24+0.29 Att No :16-0.234Att No :17...' numeric
@attribute '0.397Att No :14+0.355Att No :6-0.286Att No :52+0.271Att No :1+0.232Att No :54...' numeric
@attribute '-0.333Att No :18-0.319Att No :11-0.286Att No :25+0.274Att No :34-0.261Att No :4...' numeric
@attribute '0.456Att No :26-0.248Att No :60+0.243Att No :34+0.228Att No :18-0.224Att No :11...' numeric
@attribute '-0.394Att No :1+0.36 Att No :49+0.283Att No :46+0.271Att No :12+0.237Att No :41...' numeric
@attribute '-0.406Att No :60-0.338Att No :4+0.323Att No :57+0.289Att No :6-0.225Att No :49...' numeric
@attribute '0.82 Att No :57+0.24 Att No :4-0.239Att No :2+0.176Att No :55-0.174Att No :58...' numeric
@attribute '-0.313Att No :60+0.279Att No :49+0.255Att No :12-0.218Att No :61+0.216Att No :33...' numeric
@attribute '0.371Att No :55-0.348Att No :60-0.304Att No :1+0.274Att No :17-0.26Att No :26...' numeric
@attribute '0.352Att No :11+0.314Att No :49+0.311Att No :1-0.294Att No :33-0.294Att No :25...' numeric
@attribute '0.555Att No :52-0.285Att No :3+0.24 Att No :51-0.197Att No :20-0.193Att No :37...' numeric
@attribute '0.576Att No :49-0.348Att No :33-0.307Att No :12-0.284Att No :41-0.185Att No :1...' numeric
@attribute '0.525Att No :55-0.349Att No :63-0.231Att No :61+0.206Att No :21-0.196Att No :62...' numeric
@attribute '0.404Att No :63+0.334Att No :25+0.323Att No :21-0.245Att No :53+0.24 Att No :13...' numeric
@attribute '0.395Att No :60-0.389Att No :4-0.291Att No :54-0.23Att No :46+0.229Att No :42...' numeric
@attribute '-0.492Att No :6+0.422Att No :22+0.33 Att No :19+0.235Att No :13-0.221Att No :4...' numeric
@attribute '0.367Att No :12-0.343Att No :33-0.329Att No :41+0.327Att No :63-0.241Att No :11...' numeric
@attribute '0.512Att No :9+0.298Att No :13-0.29Att No :1-0.246Att No :37+0.24 Att No :6...' numeric
@attribute '-0.335Att No :25+0.293Att No :14-0.272Att No :53-0.26Att No :3+0.259Att No :4...' numeric
@attribute 'Att No :64' {0,1}

@data
-4.86633,1.423333,-0.008869,1.273374,-0.243388,-0.445707,-1.914918,-0.18979,0.432744,-0.676535,1.434311,0.020956,0.111462,0.704977,0.708072,-0.641323,-0.081392,0.387668,-0.057722,0.171484,0.588794,-0.406816,-0.197067,0.315183,0.263637,0
-2.078895,0.425804,0.713784,1.481679,-2.741939,-1.495571,0.577288,0.153822,1.344552,0.608061,0.548352,0.983592,-0.26069,-0.003395,-1.137897,0.677006,-0.783743,-0.088095,-0.33179,0.083309,0.495767,0.141452,-1.161124,-0.783482,0.193691,0
-2.817895,0.127189,-0.72783,1.324869,-2.083334,-2.234692,-0.209612,-0.568367,0.301542,-0.117601,-0.49268,0.854609,-0.255982,-0.313471,-0.031359,-0.373304,-0.184024,0.229174,-0.213516,-0.076389,0.275376,0.464616,0.115612,0.07686,0.192316,0
-3.318687,0.826498,0.234689,0.423869,-1.187787,0.593674,0.923835,-0.785965,0.893562,0.610189,0.290787,0.458378,-0.601468,0.375248,-1.390223,0.918736,0.251166,1.262093,0.893654,-0.114393,-0.118385,-1.137686,0.381039,0.563595,0.874558,0
-3.56112,0.026481,-0.674535,-1.171678,-0.789028,-1.713163,-0.095904,-2.212642,0.339125,-0.185121,-0.558957,1.038656,-1.121286,-0.57201,-0.396228,-0.144141,0.022609,-0.962934,0.392703,-0.386907,-0.599999,-0.037107,0.324902,-0.805833,0.861009,0
-2.878557,1.414909,0.645997,2.583554,-2.221483,-1.896123,-0.567538,0.217425,0.444854,0.194904,0.812903,1.744042,-0.367598,0.179037,-0.217847,-0.916403,1.153085,1.158918,0.805958,-0.061974,0.220734,0.31104,0.299738,-0.748764,0.224344,0
-5.030696,-0.20858,-1.766094,-2.204052,-0.368717,-1.781962,0.462863,-0.109415,-0.417806,-0.938367,0.518095,-0.375225,-0.221254,0.946207,0.034362,0.115111,-0.058499,-0.601409,-0.211912,0.620695,0.350626,0.737026,0.099936,-0.360077,-0.40953,0
-4.442361,0.179134,-1.07626,-0.356529,-0.550569,-0.532528,0.033137,-0.781182,0.329983,-0.172064,-0.9696,-0.759387,0.179887,-0.628569,0.244139,-0.631749,0.101188,0.986535,0.360796,-0.054292,-0.175727,-0.264381,0.71978,0.004323,-0.477038,0
-5.216214,1.103139,-0.178087,0.591993,-0.720855,-1.426665,-1.611584,0.94604,-0.119179,-0.596233,0.973586,-0.735182,0.660533,-0.07523,1.13883,-0.850423,0.550288,0.082384,-0.424351,-0.336238,-0.599356,0.351478,-0.122735,0.120141,-0.123693,0
-1.225446,-0.977194,-1.057837,1.393656,-2.690222,-1.386298,0.458961,-0.86769,0.560044,-0.05974,-0.852995,0.012559,0.633384,0.247987,0.115639,-0.00305,0.601513,0.557525,0.070774,0.410931,-0.573861,-0.590493,-0.174358,-0.500712,0.267995,0
-3.597287,-0.039592,-0.988429,1.018911,-2.709224,-2.268319,-0.03933,-0.38457,0.019199,-1.26871,0.188983,0.214971,0.548175,0.029395,-0.048112,-0.761973,0.597676,0.144665,-0.525891,-0.344698,-0.592879,0.231296,-0.280321,-0.854864,-0.183851,0
-4.318842,0.714185,-0.717591,1.201495,-1.497864,-1.58489,-0.966431,-0.739692,0.623716,-0.506025,-0.32472,0.586135,0.103275,0.057465,0.457174,-1.23497,0.845378,0.049656,-0.513851,-0.582404,0.185675,-0.675382,0.037374,-0.057561,0.597092,0
-2.935694,-0.301019,-1.557754,-0.185565,-1.998468,-2.311649,0.21124,-0.87264,0.145758,-0.541848,-0.14317,0.125796,0.352294,1.169751,0.080552,-0.500097,0.249435,-0.691709,-0.645207,0.211302,-0.770668,0.467207,-0.640265,-0.299061,-0.387824,0
-2.708248,0.325661,-0.224733,1.445097,-2.85421,-2.22892,-0.328762,-0.225701,1.552311,-0.40711,0.507612,1.101188,0.524722,1.32046,0.140937,-0.67132,0.251483,0.029657,-0.744192,-0.306317,-0.329781,-0.58263,-1.715689,-0.906976,0.318117,0
-5.709557,1.101281,-0.511538,-0.516381,0.305314,-0.552624,-1.546026,-0.637106,0.747742,-0.514641,1.505028,-0.473376,-0.173166,1.348793,0.166354,-0.152342,0.013383,0.400767,-0.31879,0.220859,0.555402,-0.358081,-0.081153,0.714608,-0.259796,0
-3.55768,0.404356,-0.946743,0.793308,-2.327556,-1.126454,0.32934,-0.416853,0.866832,-0.114128,0.446939,0.113071,0.192658,0.435831,-0.269765,0.336533,0.330535,0.669268,0.013334,0.214557,-0.580082,-0.812548,0.120318,-0.140254,0.33095,0
-3.528563,-0.223393,-0.946944,-1.788987,0.944485,-0.253454,1.499279,0.784129,-2.718971,-0.663314,-0.964045,-0.816371,0.468039,1.275412,-0.498161,-0.107481,0.330266,-0.220361,-0.315496,-0.214906,0.221584,0.542358,-0.001268,-0.360075,0.699075,0
-4.061634,1.157506,-0.488263,-0.101464,-0.276439,0.002523,0.708996,-0.53725,-0.498275,0.521623,0.35305,0.745011,-0.479333,1.520761,-0.454106,-0.502871,0.288675,-1.446176,0.09826,0.144788,-0.227796,0.280071,0.595224,0.102153,-0.377965,0
-3.133772,0.407437,-0.050715,-0.011934,0.328421,0.375797,1.137785,0.213758,-1.876244,-0.105628,-1.170759,0.168984,-0.16552,-0.739858,-0.164888,0.532769,0.029043,-0.304097,-0.041509,-0.483532,0.432345,0.02478,0.506307,0.038859,0.180901,0
-3.312551,-1.147735,-1.043725,-0.423421,1.345452,0.250943,1.370344,1.529494,-2.771438,-0.523772,-2.002859,0.126503,0.583775,0.48261,0.459032,-0.738415,0.067572,0.180875,-0.120204,-0.765559,1.360364,0.086069,0.881822,-0.962694,0.923203,0
-4.547057,0.218801,0.040736,-2.44017,3.188971,0.829145,0.776292,0.975603,-2.968532,-0.035033,-1.20244,0.092991,-0.081089,0.186357,0.679402,-0.885854,0.239602,-0.721592,-0.321847,-1.066164,-0.265186,-0.752066,-0.136023,-0.662166,0.272379,0
-3.07575,1.341194,0.418182,0.432645,-0.538204,1.180676,1.50401,1.678623,-0.357003,1.668057,0.413985,-0.317425,0.056963,0.150662,-0.592445,1.02956,0.326023,-0.768139,0.224906,-0.390696,-0.423778,-0.230634,-0.261039,0.462017,0.266024,0
-4.681385,0.846794,0.173445,0.165017,0.084802,0.763746,0.77089,1.411432,-1.108393,0.6085,0.396094,-0.373083,0.104826,-0.828858,0.330229,0.454738,-0.014245,-1.276552,-0.403833,-0.281657,0.389135,-0.275179,-0.295554,-0.178868,0.44285,0
-4.052772,0.580966,-0.279303,0.39328,0.358983,0.606796,1.066962,0.851259,-1.984151,0.349426,-0.24179,0.263125,0.127104,0.439295,0.486139,0.056712,0.854296,-0.741805,-0.200119,-0.10663,-0.05063,0.400942,0.919806,-0.196595,-0.420008,0
-2.713002,0.598394,-0.009555,-0.210025,-0.439143,-0.007977,1.08005,-0.460375,-0.768101,1.010063,-0.877522,0.134117,-0.734305,-0.384961,-0.888628,0.751286,0.612453,-0.327421,0.775062,-0.442084,-0.501437,-0.133364,0.826756,0.791456,0.790567,0
-4.510631,-0.81848,-0.261305,-1.739767,-0.154245,-0.026245,1.329429,1.972982,-0.952427,-0.701242,0.91277,-1.39629,0.59396,0.379233,-0.626862,1.878954,-0.047721,0.992639,-0.259106,-0.099221,-0.050138,0.174521,-0.160301,-0.435211,0.613636,0
-2.924931,0.853333,-0.615352,-1.389382,0.269228,-0.130573,0.932858,-1.091138,-0.624677,0.467302,-0.720273,0.304875,-0.80067,0.508408,-0.276324,1.014797,0.115235,-0.507602,0.435472,-0.581139,-0.128738,-0.218705,0.695171,0.33877,-0.232762,0
-3.098451,0.986573,0.427034,1.420225,-0.910188,0.164444,0.641478,0.554489,-0.438879,0.968889,1.261812,0.796366,-0.338286,0.909598,-0.657267,0.516054,-0.817111,-1.375785,-0.370644,0.196958,-0.07619,0.723638,-0.388744,0.54466,-0.577872,0
-3.535575,1.10267,0.770098,0.947398,-1.273496,-0.200968,0.767475,0.583252,0.1637,0.885018,0.950318,1.342413,-0.606767,0.313794,-0.232943,0.744235,0.927128,-0.864781,0.323451,-0.09135,0.118072,0.806842,0.487445,-0.021868,-0.448848,0
-4.90999,1.524373,0.961527,0.948814,0.212944,-0.737133,-2.228726,-1.2434,0.685993,-0.439551,1.089028,1.468095,-1.15828,-0.13295,0.017008,-1.603924,-0.481578,-1.197165,0.04508,-0.625579,0.689922,-0.457596,-0.224228,-0.207068,0.311415,0
-5.326626,-0.054229,-0.459306,0.186889,-0.309256,-0.797941,-0.895417,-0.649224,0.052436,-0.596432,0.581161,0.105439,-0.143914,0.626136,0.205971,-0.612343,-0.479236,-0.487267,-0.105717,-0.052976,-0.324636,0.296871,0.24881,0.182677,0.012123,0
-3.684963,0.147493,-0.516735,1.395636,-2.016021,-0.935981,0.015146,-0.502943,0.697426,-0.128907,-0.399375,0.570072,0.100831,-0.181393,-0.059445,-0.440362,0.431269,0.138736,0.113556,0.018877,0.117726,-0.590962,0.066124,-0.043866,0.450185,0
-3.744725,-0.130967,-1.793729,-1.379842,-0.208474,-1.238893,0.235585,-1.982823,0.548509,-0.596922,-0.52002,0.756765,-0.27586,1.572204,0.835379,-0.171719,-0.054932,0.317626,0.420837,0.715907,0.64956,0.408163,0.087612,-1.065007,-0.351616,0
-4.835354,0.98975,0.01843,-1.709078,0.712396,-0.613271,-1.271852,-2.140169,1.260344,-0.598757,1.424162,0.299999,-1.493682,0.9918,-1.082198,0.391804,-1.311774,0.526699,0.296524,-0.586623,0.858827,-0.30876,-0.075246,0.513517,0.247326,0
-4.798102,0.727278,0.287744,1.646155,-0.78161,-0.321484,-0.851258,0.360133,0.409138,0.438075,0.896243,-0.294308,0.358648,0.363092,0.402836,-0.594728,-0.612842,0.106622,-0.043634,0.441038,0.668821,-0.328302,-0.537481,-0.133238,-0.280597,0
-2.930064,-0.105558,-0.154121,2.058239,-1.393417,-0.269476,0.415345,-1.048798,0.148357,0.27492,-0.46003,1.138652,-0.03412,0.80507,-0.050434,-0.654047,0.969591,0.570595,0.152462,0.136023,0.094362,-0.320312,0.810999,-0.262412,-0.03036,0
-5.116992,0.610076,0.513078,0.461067,0.199607,1.071804,-0.969357,-0.389574,0.782587,-0.035794,1.078104,-0.987192,-0.139062,-0.614816,-0.199464,-0.352542,-0.527358,0.475718,0.149654,-0.103101,0.397334,-0.991427,0.107513,0.641303,-0.359318,0
-3.878361,-0.712241,-0.827793,0.20088,0.059503,0.095971,0.339842,-0.466123,0.311468,-1.003744,-1.679942,0.986072,0.088951,0.318584,0.604614,-1.045921,0.415657,0.152644,-0.371394,-0.730458,0.129738,1.149049,0.924315,0.037221,-0.312749,0
-5.508646,0.113988,-0.569013,-1.424443,0.459106,0.807842,0.116408,-0.44876,0.816165,-0.474649,1.652728,-1.174594,-0.040033,1.287001,-0.046432,0.345125,-0.451565,0.983813,0.439687,0.521634,0.290174,-0.376957,0.525264,-0.519622,-0.407898,0
-3.878899,0.80219,1.578874,3.07152,-1.505115,-1.566054,-2.091691,0.496582,0.509865,-0.088118,0.719447,1.253404,0.2546,-0.228834,0.620152,-0.986364,-0.32057,0.521549,-0.385375,-0.538658,-0.092037,0.092029,-0.852204,-0.187176,0.794702,0
-3.256589,0.460083,-0.191006,0.096599,-1.521847,-0.721943,-0.23465,-1.860715,1.590826,-0.652958,0.788924,0.577836,-0.414401,1.101864,-0.593519,-0.184645,0.182363,0.299919,0.011943,0.063464,1.257108,-1.516105,-0.277234,-1.112109,0.365817,0
-3.885098,-0.508143,-0.109207,1.234772,-0.606893,1.00414,0.922883,0.13365,-0.693459,-0.055037,-0.318415,-0.060804,0.584074,0.075768,0.369611,0.167645,0.734854,-0.196097,-0.268713,-0.172117,-0.44953,0.0429,0.43448,0.310735,-0.170155,0
-3.932967,-0.650938,0.02771,-0.598831,-0.281335,-0.091432,-0.023217,-1.382896,0.599921,-0.592789,-0.83729,-0.282384,-0.200882,-1.14369,0.179576,0.261033,-0.714478,0.211501,0.35308,-0.276788,0.030517,-0.249375,-0.028819,-0.097218,-0.49463,0
-3.096147,-0.700424,1.007795,1.236245,-0.091833,2.116919,1.379111,1.179587,-1.082897,-0.063723,-0.724434,-0.825194,0.993559,-1.095403,-0.079996,0.625286,0.316684,0.197837,-0.411467,0.207056,0.169642,0.272853,-0.595533,-0.32562,-0.272995,0
-4.267219,-1.073127,-0.445542,-0.10635,1.326616,1.052967,-0.526045,-0.507348,-0.016483,-1.295717,-1.150589,0.186477,-0.062056,-0.662284,1.00264,-1.933041,-0.44904,-0.421646,0.07962,0.196691,0.593525,0.418118,0.698506,-0.069332,0.183895,0
-3.654946,-1.208523,-0.521705,0.434598,-0.095408,0.231982,0.107435,-1.13477,0.570386,-0.025602,-1.908238,0.040528,0.284212,-0.939661,1.202809,-1.16895,-0.120539,0.42199,0.037633,0.214962,0.305449,-0.489534,0.289688,-0.450221,-0.057383,0
-4.133365,-0.201247,1.162151,2.387476,-0.15519,1.856795,-0.547199,0.953058,0.180234,0.459858,1.016394,-0.187173,0.165656,-1.703737,0.772334,-0.297134,-0.035124,0.0674,0.612827,0.722299,-0.143047,-0.071003,-0.107892,0.041096,0.330512,0
-2.964431,-0.59508,1.141213,1.225958,-1.122326,1.339363,1.009769,0.06976,0.720032,0.532125,-0.629218,-0.340051,0.096776,-1.821164,-0.326482,0.926314,-1.451793,-0.176124,0.247796,0.075958,0.527517,-0.36955,-0.783813,-0.175305,-0.470017,0
-6.425912,0.52254,1.440887,1.809899,-0.06473,0.372421,-1.962168,1.424748,-0.32534,-0.645456,2.354991,-0.717432,0.658063,-0.315314,0.959918,-0.684798,-0.703167,-0.316307,-0.366222,0.205417,-0.918868,0.480555,-0.309006,-0.060884,-0.14854,0
-3.374275,-2.028062,-0.366436,-1.174726,0.491905,0.932495,1.799151,0.851243,-0.961005,-0.754902,-1.351581,-0.508967,0.500654,-0.209084,0.125187,1.096008,-0.298838,0.039756,0.16884,0.700201,1.20588,0.223862,-0.778069,-0.62817,0.033243,0
-1.667857,-0.87606,-0.293232,1.346892,-1.16451,-0.649385,0.421947,-2.187527,0.265097,-0.187887,-1.271961,1.281778,-0.518517,0.159521,0.081441,0.443634,-2.059748,-0.496192,0.191002,0.498391,1.64789,-0.174741,-0.193517,-0.480978,-0.703741,0
-3.020615,-0.974988,0.071199,1.122982,0.309937,2.480882,0.203515,-1.435596,1.029976,-0.197883,-0.507765,0.601392,-0.443612,-1.469289,0.259073,-0.562648,-0.931733,0.316935,0.822807,0.142454,-0.576785,-1.032895,0.859671,-0.40741,0.471014,0
-2.694448,-1.370756,-0.008805,1.455988,0.065777,0.702496,-0.172086,-1.280272,0.167667,-0.879268,-2.099791,0.01646,0.350553,-1.952093,1.377608,-0.52405,-1.292522,0.632854,0.035026,0.61519,1.526725,0.258339,0.159479,-1.002696,-0.576628,0
-4.21444,-1.747201,0.5701,-0.675432,2.712533,2.1351,-0.65103,-0.50322,0.397941,-0.964062,-2.279823,-0.49539,0.128606,-2.294717,1.410147,-1.764061,-1.615842,0.360385,0.078858,0.462904,0.51014,0.540043,-0.775599,-0.342537,-0.501314,0
-4.598434,-0.675945,0.058702,0.455032,-0.292158,0.815949,0.627958,-0.198,-0.051945,-0.314306,-0.525912,-0.050032,0.117246,-1.427547,0.283919,-0.16437,-0.52902,-0.221599,-0.059269,-0.24568,-0.34405,0.067389,0.260379,-0.680895,-0.396606,0
-5.308826,1.01611,-0.774783,-2.897604,0.183927,-0.654814,0.64596,0.0772,-1.004812,-1.021564,0.820973,-1.659953,0.025461,0.848727,-1.127531,0.891411,0.009439,0.241324,-0.277688,-0.305334,-0.898739,0.227512,-0.105056,0.08973,0.018455,0
-3.367653,-0.061351,-1.061042,-3.0339,2.396144,0.801598,-0.351734,-1.898681,0.60811,0.205181,-0.281497,0.120862,-0.503493,0.695151,1.535957,0.524333,0.475695,-0.51835,0.198551,0.129238,-0.36287,-0.328364,-0.926073,-0.35818,0.07691,0
-4.673731,0.382845,-0.948576,-1.430397,-0.20103,-1.150184,0.704517,0.014265,-1.098952,-0.308688,-0.432841,-0.807984,0.335663,0.729662,-0.082632,-0.764465,0.302501,-0.752544,-0.563088,0.175431,-1.368868,0.681677,-0.320938,0.071827,-0.451597,0
-2.39054,0.229476,-0.321323,-0.943568,-0.440386,0.441144,1.715233,-0.575482,0.060514,0.267385,-1.570883,0.08593,-0.429763,0.276141,-1.010588,0.91742,-0.13831,-0.833835,0.599534,-0.210672,0.148086,-0.026868,-0.408353,0.469593,0.46674,0
-4.656272,0.08316,-0.135999,0.360673,-1.007304,-0.588538,-0.129007,-0.937556,-0.22239,-0.729135,0.308565,0.188679,0.209098,0.136878,0.36921,-0.767236,0.840515,-0.850728,-0.188856,-0.139501,-0.640586,-0.379553,0.129376,-0.697672,-0.186989,0
-3.085129,-0.109391,-0.771209,1.117587,-2.301869,-0.265387,0.674848,-0.746073,-0.151576,-1.048805,-0.549001,-0.640556,0.799916,0.678081,-0.130123,-0.135812,1.021639,-0.761582,-0.069592,0.645586,0.407395,-0.392122,0.044839,0.227198,-0.278614,0
-2.581075,0.703963,-1.387065,-0.964398,0.603105,1.367381,0.875509,-1.100156,-0.707317,-1.135531,-1.519974,-0.17341,0.580969,0.4786,1.374922,0.197454,1.038502,-0.71695,0.08894,0.148981,-0.625737,-0.458066,0.429693,-0.168443,-0.517296,0
-0.832364,-2.002444,-1.414194,0.366844,-2.047741,-1.306747,0.679962,-0.971575,-0.392014,-0.880508,-1.118237,-0.468001,0.820886,0.55189,-0.188922,0.37626,0.917786,-0.035141,-0.347573,0.124335,-1.085345,0.702257,-0.610617,0.344263,-0.055328,0
-2.888178,-1.144941,-0.788684,-0.077486,-1.696731,-0.251206,1.112888,-0.536238,-0.186209,-1.18285,-1.259561,-0.621249,0.768669,0.331231,-0.10265,-0.023779,1.225248,-0.460539,0.015877,0.70627,-0.204179,0.040406,-0.483189,0.467492,0.113572,0
-3.98263,-0.183795,-1.545336,-0.952928,-0.285034,-0.682009,0.6971,0.227439,-1.245509,-1.735154,-0.830813,-0.188979,0.406615,0.162921,0.746874,-0.628791,1.45069,-0.854472,-0.172627,-0.181096,0.769666,0.791372,0.845086,-0.681204,0.062825,0
-3.244563,0.683435,-0.01337,0.3962,-1.420347,-0.106665,1.16169,-0.167371,-0.363707,0.257471,-0.34769,0.046724,-0.416646,0.365699,-1.318089,0.288909,1.214449,-0.66286,0.539604,-0.106283,-0.006048,0.329982,0.569781,1.052298,0.336159,0
-2.922382,0.058823,-0.005271,2.58139,-1.095142,-0.789483,-0.742829,-0.013853,-0.932701,0.004448,-0.929687,0.030367,0.367552,-0.061543,0.06857,0.035089,0.295726,0.904962,-0.145888,-0.36547,-0.037603,0.735364,0.703449,1.584869,0.735841,0
-2.616284,-0.388745,-0.942484,0.737325,-0.979816,0.428086,0.721345,-1.04352,-0.69861,-0.918611,-1.371657,-0.37759,0.761225,-0.097693,0.747519,0.021845,1.026168,-0.474682,-0.398324,-0.02348,0.174641,-0.367855,0.261626,0.361536,-0.234729,0
